SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.6,0.02222864143550396,0.9998804330825806,756,813,680,133,76,39111,0.8667941364775054,0.7649043872160806,0.8364083642848605,0.8994708996038745
365a3850-e629-476a-83cf-dc4ef3355295,0.6,0.015284889377653599,0.9923011064529419,96,539,41,498,55,39406,0.12913385963915927,0.0690235705908694,0.07606679206666643,0.4270833393012152
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.6,0.018014218658208847,0.9999885559082031,560,708,401,307,159,39133,0.6324921138545014,0.4625144181516558,0.5663841814034122,0.7160714290784439
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.6,0.006677454337477684,0.9999635219573975,731,255,243,12,488,39257,0.49290060903356936,0.32705249081150406,0.9529411766551327,0.33242134154251524
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.6,0.016228849068284035,0.9999960660934448,531,633,479,154,52,39315,0.823024055134859,0.6992700734317225,0.7567140604159336,0.9020715632729349
04547b46-ef41-4254-b553-a11f16acbd40,0.6,0.02055058255791664,0.9967148303985596,997,721,547,174,450,38829,0.6367869617946526,0.46712211830305533,0.758668516284787,0.5486459382661525
b9df4252-d935-4884-a61e-84e58a75769b,0.6,0.02642081305384636,0.999992847442627,2622,1021,936,85,1686,37293,0.5138622016157393,0.34577022558338744,0.9167482860756628,0.35697940527956545
a833f58b-77e2-4984-9119-f3437717bb17,0.6,0.022444341331720352,0.9999567270278931,428,868,416,452,12,39120,0.6419753089182288,0.47272727332644626,0.4792626734109877,0.9719626168879378
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.6,0.01782907545566559,0.9995348453521729,789,661,537,124,252,39087,0.7406896553512485,0.5881708657303715,0.8124054465772989,0.680608365423817
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.6,0.012762840837240219,0.9999550580978394,254,480,254,226,0,39520,0.6920980930625367,0.5291666676475695,0.5291666676475695,1.0
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.6,0.05808018893003464,0.9992984533309937,624,2214,511,1703,113,37673,0.36011275568706386,0.21959604674705802,0.23080397505383743,0.8189102567004644
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.6,0.04026395082473755,0.9998347759246826,1623,1572,1449,123,174,38254,0.9070422535502215,0.8298969073139193,0.9217557252406134,0.8927911276076457
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.6,0.021543772891163826,0.999996542930603,1150,833,720,113,430,38737,0.7261724660987532,0.5700712592477661,0.8643457384581684,0.6260869568468809
5da1b659-166e-4285-843d-f71c29baa660,0.6,0.03490358591079712,0.9994932413101196,636,1355,635,720,1,38644,0.637870417057825,0.46828908593783986,0.4686346867390149,0.998427672958447
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.6,0.02119816280901432,0.999984860420227,413,813,387,426,26,39161,0.6313213706106676,0.46126340946214134,0.47601476079210975,0.937046004995046
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.6,0.04188407212495804,0.9999788999557495,1319,1632,1217,415,102,38266,0.8248051508557082,0.7018454442319231,0.74571078446954,0.922668688458932
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.6,0.06605055928230286,0.9996494054794312,1206,2544,1146,1398,60,37396,0.61120000010368,0.44009216611363594,0.4504716983292172,0.9502487562601586
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.6,0.03288746625185013,0.9999527931213379,1101,1272,861,411,240,38488,0.7256637169297667,0.5694444447292034,0.6768867927068499,0.7820163489718288
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.6,0.027150174602866173,0.9999289512634277,1375,1052,997,55,378,38570,0.8215904409470168,0.6972027974145435,0.9477186312284043,0.725090909290843
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.6,0.061949409544467926,0.9997168183326721,2281,2436,1929,507,352,37212,0.8178927284676928,0.6918938308135245,0.7918719212677046,0.8456817186121519
67756e67-f943-4f44-a748-c0ac2d86403e,0.6,0.04119154438376427,0.999834418296814,3059,1559,1459,100,1600,36841,0.6318752707596631,0.46185501758092595,0.9358563181938061,0.47695325286794604
789c743e-c04a-4aad-b156-67f965c09105,0.6,0.03334625065326691,0.9998844861984253,967,1289,960,329,7,38704,0.8510638298532519,0.7407407409407863,0.7447633826650399,0.9927611168637424
7f4bf604-90fe-431f-8812-9496e3ef716a,0.6,0.025993624702095985,0.9990615248680115,625,1000,411,589,214,38786,0.5058461541502485,0.3385502476618202,0.411000000589,0.65760000054784
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.6,0.015347798354923725,0.9989533424377441,368,590,227,363,141,39269,0.473903967146238,0.31053351667505674,0.3847457637546682,0.6168478271281309
c18da7a8-eed2-49db-b6d8-9d0bcb91013b,0.6,0.0006468117935582995,0.6934823989868164,1162,4,0,4,1162,38834,8.576329323690969e-10,8.576329323690969e-10,2.499999375000156e-07,8.605851971939885e-10
3986fd15-5303-4fa6-930b-7f2c8e31daea,0.6,0.03492018207907677,0.9999779462814331,1581,1335,1140,195,441,38224,0.7818930041900229,0.6418918920935294,0.8539325843790767,0.7210626187722564
0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.6,0.05838992819190025,0.9998137354850769,3536,2251,2106,145,1430,36319,0.7278382582118821,0.5721271394805414,0.9355841848353691,0.5955882354084875
f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.6,0.029407495632767677,0.9999704360961914,714,1117,597,520,117,38766,0.6521026763232646,0.48379254498882285,0.5344673236038788,0.8361344540110162
9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.6,0.022186893969774246,0.9999772310256958,650,856,610,246,40,39104,0.8100929616134841,0.6808035717848174,0.7126168227656345,0.9384615385562131
73841ef8-5218-4d03-a2dd-72c84ac34fb4,0.6,0.005554069299250841,0.9955328702926636,417,207,168,39,249,39544,0.5384615392011834,0.3684210540166205,0.8115942038087236,0.40287769927367456
1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,0.6,0.045085713267326355,0.9996191263198853,452,1716,428,1288,24,38260,0.39483394861861904,0.2459770119275994,0.24941724985465194,0.9469026549847286
ad08f042-2a02-4b28-bc46-4d116b66632a,0.6,0.017940297722816467,0.9999816417694092,1638,680,524,156,1114,38206,0.45211389152195264,0.2920847272619371,0.7705882356314879,0.3199023203175199
43187285-c9a9-4b94-9e16-c035ddddc1b4,0.6,0.009899191558361053,0.9999926090240479,1256,386,273,113,983,38631,0.33252131587544376,0.19941563243285926,0.7072538867687723,0.21735668852121282
5f129616-2b9b-4461-bbe7-ec1442caa9a3,0.6,0.01749546267092228,0.9988642930984497,784,665,474,191,310,39025,0.6542443066568362,0.48615384668086786,0.7127819553191249,0.604591837239041
