RunTag,FeatureConfig,ModelName,RunName,RunId,Split,CaseGroup,Order,SelectionReason,SampleId,SplitOrder,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TotalErrorPixels,Dice,IoU,Precision,Recall,PredictionProbabilityMean,PredictionProbabilityMax,Threshold,TrueNegativePixels,HasGroundTruth,HasPrediction,PlumeSizeGroup
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,1,PlumeSizeStratified,ea90fc30-428a-4c09-a7eb-aac47d75acd8,215,95,569,95,474,0,474,0.2861445793883365,0.1669595796714242,0.1669595796714242,1.0,0.0146828321740031,0.9998148083686828,0.6,39431,True,True,0.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,2,PlumeSizeStratified,365a3850-e629-476a-83cf-dc4ef3355295,1,96,539,41,498,55,553,0.1291338596391592,0.0690235705908694,0.0760667920666664,0.4270833393012152,0.0152848893776535,0.992301106452942,0.6,39406,True,True,0.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,3,PlumeSizeStratified,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,167,98,1794,0,1794,98,1892,5.285412259362888e-10,5.285412259362888e-10,5.574136005811517e-10,1.0204081528529781e-08,0.0467465817928314,0.9992049336433412,0.6,38108,True,True,0.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,4,PlumeSizeStratified,63469f68-509c-45de-9a32-d7a9b525b5df,473,723,1253,680,573,43,616,0.6882591094695045,0.5246913583914418,0.5426975263027154,0.940525587910753,0.0345274806022644,0.9991575479507446,0.6,38704,True,True,1.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,5,PlumeSizeStratified,e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,3,731,255,243,12,488,500,0.4929006090335693,0.327052490811504,0.9529411766551328,0.3324213415425152,0.0066774543374776,0.9999635219573976,0.6,39257,True,True,1.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,6,PlumeSizeStratified,226ee4ba-987d-4b76-8206-daffbf039293,332,731,750,575,175,156,331,0.776502363418972,0.6346578370478391,0.7666666669777777,0.7865937075422794,0.0192361120134592,0.999997615814209,0.6,39094,True,True,1.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,7,PlumeSizeStratified,4a155e3f-6602-4575-b01f-106a7352593c,132,1390,2910,1321,1589,69,1658,0.6144186047408328,0.4434373952858552,0.4539518902220097,0.9503597122659284,0.075771078467369,0.9994749426841736,0.6,37021,True,True,2.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,8,PlumeSizeStratified,617140a7-5a6e-429e-a804-c4043b2a975f,182,1393,1154,1062,92,331,423,0.8339222615493042,0.7151515153433323,0.9202772964295692,0.7623833454684973,0.0298058297485113,0.9998468160629272,0.6,38515,True,True,2.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,FixedComparisonCases,9,PlumeSizeStratified,ac20d346-a807-4145-8f9e-2966a9c43ced,383,1399,1065,959,106,440,546,0.7784090909990223,0.6372093025666383,0.9004694836615309,0.6854896356787065,0.0279852021485567,0.999607264995575,0.6,38495,True,True,2.0
101622,ConfigB,EnhancedUNet,Bs4Ep30_D005_LR1e4_DatedFull,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Test,BestPredictions,1,HighestDice,cf859ba5-9c8b-4474-ac5f-7bf079dda241,213,1704,1658,1589,69,115,184,0.945270672235196,0.8962210942491703,0.9583835947175008,0.9325117371288076,0.0431919358670711,0.9998146891593932,0.6,38227,True,True,
