SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.5,0.02087356336414814,0.9997933506965637,756,820,680,140,76,39104,0.8629441625235126,0.7589285716976244,0.8292682928911362,0.8994708996038745
365a3850-e629-476a-83cf-dc4ef3355295,0.5,0.006029950920492411,0.9932014346122742,96,212,71,141,25,39763,0.46103896278883455,0.2995780620270968,0.33490566351459594,0.7395833360460069
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.5,0.01862674579024315,0.9995061159133911,560,732,425,307,135,39133,0.6578947371068926,0.49019607901938167,0.5806010934691241,0.7589285718590562
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.5,0.009791119024157524,0.9985384941101074,731,381,265,116,466,39153,0.4766187055066378,0.3128689500438383,0.6955380585418949,0.3625171007352707
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.5,0.010491901077330112,0.9999545812606812,531,417,333,84,198,39385,0.7025316458834054,0.5414634153797343,0.7985611515622034,0.6271186447700213
04547b46-ef41-4254-b553-a11f16acbd40,0.5,0.006412557791918516,0.9979267120361328,997,251,130,121,867,38882,0.2083333339676816,0.1162790705578899,0.5179282887731941,0.1303911743927872
b9df4252-d935-4884-a61e-84e58a75769b,0.5,0.028082137927412987,0.9999485015869141,2622,1112,1089,23,1533,37355,0.5832886985583051,0.41172022706551226,0.9793165467811902,0.415331808003306
a833f58b-77e2-4984-9119-f3437717bb17,0.5,0.010022708214819431,0.9998650550842285,428,387,328,59,100,39513,0.8049079756994995,0.673511294304905,0.8475452200321829,0.7663551407328151
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.5,0.013864189386367798,0.99974125623703,789,542,489,53,300,39158,0.7347858754810023,0.5807600955097861,0.9022140223206383,0.6197718635997822
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.5,0.010524583980441093,0.99989914894104,254,414,248,166,6,39580,0.7425149704453369,0.5904761914512472,0.5990338173936381,0.9763779528489057
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.5,0.023589730262756348,0.9998342990875244,624,919,567,352,57,39024,0.7349319509170888,0.5809426233801818,0.6169749732133025,0.9086538463002343
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.5,0.03469415381550789,0.9994680285453796,1623,1367,1160,207,463,38170,0.7759197325164148,0.6338797816208307,0.8485735187647597,0.7147258165651721
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.5,0.011137249879539013,0.9999483823776245,1150,434,418,16,732,38834,0.5277777780758979,0.35849056658791545,0.9631336406379409,0.36347826142306233
5da1b659-166e-4285-843d-f71c29baa660,0.5,0.022480588406324387,0.9954713582992554,636,868,601,267,35,39097,0.7992021277930837,0.6655592473249621,0.6923963137184375,0.9449685535456469
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.5,0.0095492172986269,0.9978824257850647,413,376,272,104,141,39483,0.6894803552731554,0.5261121866032646,0.7234042560547759,0.6585956424731341
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.5,0.031219137832522392,0.9999247789382935,1319,1235,948,287,371,38394,0.7423649178769128,0.5902864261579785,0.7676113362205575,0.7187263080221938
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.5,0.08509224653244019,0.999288022518158,1206,3393,1178,2215,28,36579,0.512285279514615,0.34434375932641226,0.34718538186054076,0.9767827529214074
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.5,0.027577579021453857,0.9990678429603577,1101,1112,446,666,655,38233,0.40307275219020666,0.2524052069878861,0.4010791372292453,0.4050862857356164
