SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.3,0.017003128305077553,0.9993044137954712,756,722,663,59,93,39185,0.8971583221264152,0.8134969327441756,0.9182825485896363,0.8769841271468464
365a3850-e629-476a-83cf-dc4ef3355295,0.3,0.034790199249982834,0.997740626335144,96,1482,91,1391,5,38513,0.11533586874820285,0.06119704165353258,0.061403509405260785,0.9479166672092014
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.3,0.026250429451465607,0.9964472651481628,560,1152,271,881,289,38559,0.31658878544591773,0.18806384511584742,0.23524305621940705,0.48392857235012754
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.3,0.008330685086548328,0.9958211183547974,731,382,375,7,356,39262,0.6738544477323859,0.5081300819673034,0.9816753927181272,0.512995896699048
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.3,0.008295797742903233,0.9947872161865234,531,339,252,87,279,39382,0.5793103453111376,0.407766991249568,0.7433628326154489,0.47457627217593923
04547b46-ef41-4254-b553-a11f16acbd40,0.3,0.019847383722662926,0.9991199374198914,997,844,711,133,286,38870,0.7724063010470362,0.6292035401511472,0.8424170617980841,0.7131394185424881
b9df4252-d935-4884-a61e-84e58a75769b,0.3,0.03749721124768257,0.9995391368865967,2622,1629,1529,100,1093,37278,0.7193601506188284,0.5617193241874654,0.9386126458326504,0.583142639365697
a833f58b-77e2-4984-9119-f3437717bb17,0.3,0.00889715924859047,0.9927278757095337,428,348,311,37,117,39535,0.8015463920083165,0.6688172050132963,0.8936781612250627,0.7266355146573936
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.3,0.010737979784607887,0.9987083673477173,789,450,396,54,393,39157,0.6392251818892452,0.4697508903087178,0.8800000002666667,0.5019011413157146
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.3,0.0263698510825634,0.9969916343688965,254,1096,254,842,0,38904,0.376296296758299,0.2317518255184746,0.2317518255184746,1.0
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.3,0.019875044003129005,0.9976300001144409,624,817,543,274,81,39102,0.7536433034325862,0.6046770605738563,0.6646266833970298,0.8701923079003329
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.3,0.03389349579811096,0.9989489912986755,1623,1408,1320,88,303,38289,0.8709996701184428,0.7714786675794981,0.9375000000443892,0.8133086877305553
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.3,0.015880120918154716,0.999384880065918,1150,675,629,46,521,38804,0.689315068663389,0.5259197328378598,0.9318518519528121,0.5469565221330812
5da1b659-166e-4285-843d-f71c29baa660,0.3,0.01425039954483509,0.9987898468971252,636,571,387,184,249,39180,0.6412593209268771,0.47195122015615704,0.6777583193034005,0.6084905666533167
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.3,0.012556701898574829,0.9947351217269897,413,544,332,212,81,39375,0.6938349010513742,0.53120000075008,0.61029411836343,0.8038740924845663
