Split,Order,SampleId,FeatureConfig,Channels,Height,Width,MaskPositivePixels,FeatureMin,FeatureMax,FeatureMean,FeatureStd,FeatureFinite,WindSource,WindU,WindV,WindSpeed10m_Metadata,WindDirCos10m_Metadata,WindDirSin10m_Metadata
Train,0,de030b00-e6b8-4984-8a38-e58575d4588c,ConfigB,9,200,200,1638,-0.35159817337989807,8.0,2.862406015396118,3.6518263816833496,True,ECMWF/ERA5_LAND/HOURLY,3.6805267333984375,-3.94635009765625,,,
Train,1,eed29b21-7a33-4cfd-8b93-20e5a2ed69ad,ConfigB,9,200,200,830,-0.17829178273677826,8.0,2.861161231994629,3.65152907371521,True,NASA/GEOS-FP,-2.839526414871216,0.7472743391990662,,,
Train,2,501f2901-74f0-4285-9c33-fa534af753b7,ConfigB,9,200,200,576,-0.22921405732631683,8.0,2.861159324645996,3.652249813079834,True,ECMWF/ERA5_LAND/HOURLY,-4.62811279296875,3.27777099609375,,,
Train,3,befa48b5-3652-4518-8e45-045c27e6bedc,ConfigB,9,200,200,242,-0.4477764368057251,8.0,2.863534450531006,3.6525285243988037,True,NASA/GEOS-FP,-4.26269006729126,-0.00869784876704216,,,
Train,4,bf262b0f-fc7c-4290-9091-b127e6bb1ed0,ConfigB,9,200,200,1447,-0.2862792909145355,8.0,2.863614320755005,3.6513803005218506,True,ECMWF/ERA5_LAND/HOURLY,7.873016357421875,2.6024675369262695,,,
Train,5,0d9ba038-d82e-4431-b540-f82351a281aa,ConfigB,9,200,200,412,-0.23730337619781494,8.0,2.8370201587677,3.6678004264831543,True,NASA/GEOS-FP,-4.252006530761719,4.474881172180176,,,
Train,6,865daa43-f09f-4a22-9d56-f544836b0395,ConfigB,9,200,200,1025,-0.2807556986808777,8.0,2.863298177719116,3.650651693344116,True,ECMWF/ERA5_LAND/HOURLY,1.3311309814453125,1.1726312637329102,,,
Train,7,d3557c64-53c3-46b1-a3b8-da71d5b373aa,ConfigB,9,200,200,10827,-0.26121634244918823,8.0,2.8792061805725098,3.642703056335449,True,ECMWF/ERA5_LAND/HOURLY,-1.3650054931640625,-1.3857574462890625,,,
Train,8,72984544-cbd6-4c69-9bec-920a8ad8bba5,ConfigB,9,200,200,2017,-0.5853736400604248,8.0,2.869121789932251,3.6452574729919434,True,ECMWF/ERA5_LAND/HOURLY,-0.609832763671875,1.600107192993164,,,
Train,9,eee0b10f-9da8-4aff-8703-6f12e8fd1707,ConfigB,9,200,200,391,-0.5033860206604004,8.0,2.8640613555908203,3.651087999343872,True,ECMWF/ERA5_LAND/HOURLY,-0.9678955078125,-0.1844472885131836,,,
