SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.6,0.01978609710931778,0.9997373223304749,756,774,671,103,85,39141,0.8771241830868469,0.7811408617216055,0.8669250647714146,0.8875661377148596
365a3850-e629-476a-83cf-dc4ef3355295,0.6,0.027124004438519478,0.9984421133995056,96,1006,93,913,3,38991,0.16878402979239196,0.09217046670746237,0.09244532893395097,0.9687500003255208
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.6,0.015468401834368706,0.9992183446884155,560,589,316,273,244,39167,0.5500435164925643,0.3793517414413545,0.5365025474762266,0.5642857150637756
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.6,0.016273783519864082,0.9997310042381287,731,624,558,66,173,39203,0.8236162362925341,0.7001254708906832,0.8942307694002712,0.7633378936206048
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.6,0.01379337813705206,0.9998409748077393,531,542,456,86,75,39383,0.8499534018173779,0.7390599680080066,0.8413284135768848,0.8587570624128869
04547b46-ef41-4254-b553-a11f16acbd40,0.6,0.022602446377277374,0.9934590458869934,997,756,306,450,691,38553,0.349115801854469,0.2114720116022999,0.40476190554925673,0.3069207629820253
b9df4252-d935-4884-a61e-84e58a75769b,0.6,0.025422468781471252,0.9997250437736511,2622,1001,945,56,1677,37322,0.5216671268226147,0.35287528030139087,0.9440559441118322,0.3604118995574325
a833f58b-77e2-4984-9119-f3437717bb17,0.6,0.014626226387917995,0.9998611211776733,428,562,385,177,43,39395,0.7777777780022447,0.6363636369646882,0.6850533813433214,0.8995327105151105
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.6,0.01405382715165615,0.999840259552002,789,522,444,78,345,39133,0.6773455380035502,0.5121107272063313,0.8505747129299335,0.5627376431397495
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.6,0.01897837221622467,0.9997389912605286,254,721,247,474,7,39272,0.5066666671726495,0.3392857151932889,0.3425797512585579,0.97244094499039
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.6,0.019370272755622864,0.9977071285247803,624,730,487,243,137,39133,0.7193500740625184,0.5617070362610069,0.6671232881272283,0.780448718300563
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.6,0.025935864076018333,0.9993416666984558,1623,1017,1001,16,622,38361,0.7583333334248739,0.6107382552710565,0.9842674533094715,0.6167590883445723
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.6,0.019519271329045296,0.9998574256896973,1150,761,704,57,446,38793,0.7367870226390439,0.5832642919774115,0.9250985546319336,0.6121739133807182
5da1b659-166e-4285-843d-f71c29baa660,0.6,0.0114961052313447,0.9994441866874695,636,428,239,189,397,39175,0.4492481208183758,0.2896969705579431,0.5584112159850205,0.37578616450348085
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.6,0.016624676063656807,0.9997879862785339,413,636,331,305,82,39282,0.6310772167482581,0.4610027862660128,0.5204402523263518,0.8014527849843758
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.6,0.043687865138053894,0.9990934133529663,1319,1708,1230,478,89,38203,0.8126858276139128,0.6844741237148169,0.7201405153863346,0.9325246399298525
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.6,0.07761795818805695,0.9990504384040833,1206,3034,1140,1894,66,36900,0.5377358491656282,0.3677419356878252,0.37574159545954466,0.9452736318861744
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.6,0.040619783103466034,0.9993606209754944,1101,1564,828,736,273,38163,0.6213883678718993,0.45073489414766743,0.5294117650067699,0.7520435969554553
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.6,0.02916114218533039,0.9995299577713013,1375,1145,1102,43,273,38582,0.8746031746529352,0.7771509169413604,0.9624454148799604,0.8014545455989421
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.6,0.06568271666765213,0.9990555644035339,2281,2593,2006,587,275,37132,0.8231432088996422,0.6994421200490091,0.773621288170605,0.8794388426657437
67756e67-f943-4f44-a748-c0ac2d86403e,0.6,0.040565431118011475,0.9995357990264893,3059,1570,1453,117,1606,36824,0.6277813783478544,0.45749370294159525,0.9254777070538358,0.47499182756620084
789c743e-c04a-4aad-b156-67f965c09105,0.6,0.031543076038360596,0.9997946619987488,967,1229,961,268,6,38765,0.8752276867599146,0.7781376520015079,0.7819365339447221,0.9937952430260649
7f4bf604-90fe-431f-8812-9496e3ef716a,0.6,0.015684781596064568,0.9923245906829834,625,529,323,206,302,39169,0.5597920281110987,0.38868832805211995,0.6105860120782873,0.51680000077312
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.6,0.027709899470210075,0.9989147186279297,368,1050,5,1045,363,38587,0.007052186877960375,0.003538571122761096,0.004761905709750566,0.01358695920220935
c18da7a8-eed2-49db-b6d8-9d0bcb91013b,0.6,0.009452934376895428,0.9998260140419006,1162,360,0,360,1162,38478,6.570302229585871e-10,6.570302229585871e-10,2.7777777700617284e-09,8.605851971939885e-10
3986fd15-5303-4fa6-930b-7f2c8e31daea,0.6,0.030525632202625275,0.9996289014816284,1581,1163,1003,160,578,38259,0.7310495627802298,0.5761056866306112,0.8624247636608556,0.6344086023817782
0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.6,0.039850298315286636,0.9995148181915283,3536,1561,1465,96,2071,36368,0.5748479498577892,0.40335903100127785,0.9385009609618828,0.4143099549167676
f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.6,0.015763578936457634,0.999900221824646,714,609,373,236,341,39050,0.5638699927710733,0.3926315795867036,0.6124794751847628,0.5224089642543291
9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.6,0.018665693700313568,0.9995934367179871,650,725,571,154,79,39196,0.8305454546686942,0.7101990053355733,0.7875862071895363,0.8784615386485207
73841ef8-5218-4d03-a2dd-72c84ac34fb4,0.6,0.017384350299835205,0.996288537979126,417,575,0,575,417,39008,1.008064515112838e-09,1.008064515112838e-09,1.7391304317580339e-09,2.398081529021387e-09
1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,0.6,0.040753163397312164,0.9992648959159851,452,1587,423,1164,29,38384,0.41490926953658197,0.2617574261994075,0.2665406431842844,0.9358407081065471
ad08f042-2a02-4b28-bc46-4d116b66632a,0.6,0.05472157523036003,0.9980471134185791,1638,2103,1492,611,146,37751,0.7976476878381054,0.6634059583533101,0.7094626725109546,0.9108669109213267
43187285-c9a9-4b94-9e16-c035ddddc1b4,0.6,0.010717845521867275,0.9998180270195007,1256,418,316,102,940,38642,0.3775388295235729,0.2326951404766604,0.755980861827797,0.251592357283764
5f129616-2b9b-4461-bbe7-ec1442caa9a3,0.6,0.017880123108625412,0.9996552467346191,784,679,569,110,215,39106,0.7778537253739892,0.6364653247914258,0.8379970547304904,0.7257653064722381
