RunTag,FeatureConfig,ModelName,RunName,RunId,Split,CaseGroup,Order,SelectionReason,SampleId,SplitOrder,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TotalErrorPixels,Dice,IoU,Precision,Recall,PredictionProbabilityMean,PredictionProbabilityMax,Threshold,TrueNegativePixels,HasGroundTruth,HasPrediction,PlumeSizeGroup
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,1,PlumeSizeStratified,ea90fc30-428a-4c09-a7eb-aac47d75acd8,215,95,299,95,204,0,204,0.4822335038521992,0.3177257547902148,0.3177257547902148,1.0,0.0071593206375837,0.9995678067207336,0.3,39701,True,True,0.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,2,PlumeSizeStratified,365a3850-e629-476a-83cf-dc4ef3355295,1,96,1165,95,1070,1,1071,0.150674068873375,0.0814751294326971,0.0815450651660557,0.9895833334418402,0.0271240044385194,0.9984421133995056,0.3,38834,True,True,0.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,3,PlumeSizeStratified,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,167,98,2032,16,2016,82,2098,0.015023474640834,0.0075685908195039,0.0078740162362824,0.163265314660558,0.0478640347719192,0.9977680444717408,0.3,37886,True,True,0.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,4,PlumeSizeStratified,63469f68-509c-45de-9a32-d7a9b525b5df,473,723,979,631,348,92,440,0.74148061119772,0.5891690013173024,0.6445352404039476,0.8727524206462622,0.0234400946646928,0.998764991760254,0.3,38929,True,True,1.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,5,PlumeSizeStratified,e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,3,731,675,573,102,158,260,0.8150782362623911,0.6878751504347237,0.8488888891127572,0.7838577294338471,0.016273783519864,0.9997310042381288,0.3,39167,True,True,1.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,6,PlumeSizeStratified,226ee4ba-987d-4b76-8206-daffbf039293,332,731,847,691,156,40,196,0.87579214203055,0.7790304399334493,0.8158205433107195,0.9452804378313536,0.0203991942107677,0.999744951725006,0.3,39113,True,True,1.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,7,PlumeSizeStratified,4a155e3f-6602-4575-b01f-106a7352593c,132,1390,1987,1177,810,213,1023,0.6970684039984991,0.5350000002113637,0.5923502770043532,0.8467625900383003,0.0477816127240657,0.9990129470825196,0.3,37800,True,True,2.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,8,PlumeSizeStratified,617140a7-5a6e-429e-a804-c4043b2a975f,182,1393,1385,1130,255,263,518,0.8135349172737455,0.6856796118412138,0.8158844766672314,0.8111988515353921,0.033188659697771,0.9993908405303956,0.3,38352,True,True,2.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,FixedComparisonCases,9,PlumeSizeStratified,ac20d346-a807-4145-8f9e-2966a9c43ced,383,1399,1109,1001,108,398,506,0.7982456141155322,0.6642335768651403,0.9026149685278494,0.715511079545739,0.0265420861542224,0.9996798038482666,0.3,38493,True,True,2.0
101840,ConfigB,TransformerUNet,Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,Test,BestPredictions,1,HighestDice,92010314-21bc-4330-94cb-6a4a058f3f81,427,4068,4083,3889,194,179,373,0.954238743718042,0.9124824026484084,0.9524859172293692,0.9559980334424784,0.0979598984122276,0.9983568787574768,0.3,35738,True,True,
