SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall
6903afdc-167b-4fdb-8f51-6f1d58111946,0.7,0.02564866654574871,0.9996044039726257,756,886,619,267,137,38977,0.7539585872387585,0.6050830893400947,0.69864559853426,0.8187830690227738
365a3850-e629-476a-83cf-dc4ef3355295,0.7,0.012243243865668774,0.9978261590003967,96,394,0,394,96,39510,2.040816322365681e-09,2.040816322365681e-09,2.538071059548043e-09,1.0416666558159723e-08
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.7,0.01962127722799778,0.9997920393943787,560,731,405,326,155,39114,0.6274206044714015,0.45711061009355464,0.5540355683255327,0.7232142862085459
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.7,0.0094766179099679,0.9977561831474304,731,338,249,89,482,39180,0.4658559406306305,0.3036585374345628,0.7366863913115788,0.3406292758678122
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.7,0.014023742638528347,0.9997549653053284,531,525,437,88,94,39381,0.8276515153147238,0.705977383350602,0.8323809527002267,0.8229755182241516
04547b46-ef41-4254-b553-a11f16acbd40,0.7,0.018951039761304855,0.9992949962615967,997,717,603,114,394,38889,0.7036172697178429,0.542754275839105,0.84100418432217,0.6048144437263646
b9df4252-d935-4884-a61e-84e58a75769b,0.7,0.031156133860349655,0.9993999004364014,2622,1178,1146,32,1476,37346,0.6031578948412742,0.4318010552253953,0.9728353141147408,0.43707093842979755
a833f58b-77e2-4984-9119-f3437717bb17,0.7,0.009528170339763165,0.9998496770858765,428,350,314,36,114,39536,0.8071979436925476,0.6767241386277497,0.8971428574367347,0.7336448604354092
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.7,0.013302174396812916,0.9997028708457947,789,487,441,46,348,39165,0.6912225707749039,0.5281437131399477,0.9055441480378971,0.5589353617757473
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.7,0.009358766488730907,0.9997902512550354,254,354,237,117,17,39629,0.7796052635203861,0.6388140171460539,0.6694915263573685,0.9330708664052328
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.7,0.06385108828544617,0.99817955493927,624,2296,599,1697,25,37679,0.41027397280470074,0.25807841479617477,0.260888502064073,0.9599358975001028
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.7,0.030308501794934273,0.9991728663444519,1623,1146,1125,21,498,38356,0.8125677140438542,0.6843065695350934,0.9816753926861471,0.6931608134977444
b29e84a0-c8ab-4251-8124-54afcb4ceb9c,0.7,0.01361385639756918,0.999896764755249,1150,504,475,29,675,38821,0.5743651755898638,0.4028838003368246,0.9424603175744835,0.4130434787712665
5da1b659-166e-4285-843d-f71c29baa660,0.7,0.024377333000302315,0.9994848966598511,636,894,622,272,14,39092,0.8130718955470119,0.6850220267786101,0.6957494410562087,0.9779874214182588
0eb3d9ee-d7ac-4344-8748-119817f51be3,0.7,0.013887721113860607,0.9990542531013489,413,505,294,211,119,39376,0.6405228762085807,0.471153847001356,0.5821782186491521,0.7118644074773259
e2a81b7c-3fcf-4a28-afc6-6929aa7d6c7e,0.7,0.05038250610232353,0.9994208812713623,1319,1904,1275,629,44,38052,0.7911883339152379,0.6545174539761204,0.6696428573163641,0.9666413950215
289dbcc3-8a1b-46fd-afd8-ed61454f54b5,0.7,0.03373527526855469,0.9986936450004578,1206,1138,1006,132,200,38662,0.8583617748044533,0.7518684605740893,0.8840070299789041,0.8341625208671952
0330995a-5e30-4cb2-8ed7-f74c1e272b98,0.7,0.025234751403331757,0.9990159273147583,1101,888,424,464,677,38435,0.426344897221546,0.2709265180377466,0.47747747806590374,0.38510445105803404
bfe23d76-85f1-4a6a-bfe6-5483a3869049,0.7,0.02692962996661663,0.9996280670166016,1375,1028,1005,23,370,38602,0.836454432028109,0.7188841203727581,0.9776264591657329,0.7309090911047933
dd4a4e28-9a9f-41a8-84e4-d20673ca31cd,0.7,0.05956849455833435,0.9990240335464478,2281,2303,1822,481,459,37238,0.7949389180203011,0.6596669081608737,0.7911419888010673,0.7987724683039139
67756e67-f943-4f44-a748-c0ac2d86403e,0.7,0.04108113795518875,0.9993166923522949,3059,1559,1467,92,1592,36849,0.6353399740936898,0.46556648699918557,0.9409878127383016,0.4795684866036063
789c743e-c04a-4aad-b156-67f965c09105,0.7,0.029907451942563057,0.9998290538787842,967,1127,937,190,30,38843,0.894937917910727,0.8098530684443793,0.831410825349236,0.9689762151303245
7f4bf604-90fe-431f-8812-9496e3ef716a,0.7,0.022328626364469528,0.9999136924743652,625,857,551,306,74,39069,0.74358974376276,0.5918367351322914,0.6429404904983191,0.88160000018944
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.7,0.017217176035046577,0.6603758931159973,368,0,0,0,368,39632,2.7173912969636105e-09,2.7173912969636105e-09,1.0,2.7173912969636105e-09
c18da7a8-eed2-49db-b6d8-9d0bcb91013b,0.7,0.011289408430457115,0.9888179898262024,1162,408,0,408,1162,38430,6.369426747535397e-10,6.369426747535397e-10,2.450980386149558e-09,8.605851971939885e-10
3986fd15-5303-4fa6-930b-7f2c8e31daea,0.7,0.04723960533738136,0.999392032623291,1581,1790,1277,513,304,37906,0.7576386829553133,0.6098376315139267,0.7134078213891577,0.8077166351627346
0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.7,0.07869218289852142,0.9978100657463074,3536,2889,2634,255,902,36209,0.8199221790163546,0.6948034820113945,0.911734164101165,0.7449095023345844
f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.7,0.030001433566212654,0.9990084767341614,714,1131,657,474,57,38812,0.7121951221072114,0.5530303034065401,0.5809018571344811,0.9201680673387002
9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.7,0.025815123692154884,0.9992306232452393,650,946,606,340,44,39010,0.7593984963913544,0.6121212125130089,0.6405919665532854,0.9323076924118343
73841ef8-5218-4d03-a2dd-72c84ac34fb4,0.7,0.01148862112313509,0.99781334400177,417,382,20,362,397,39221,0.05006257941168638,0.0256739422006753,0.05235602342315177,0.04796163297850928
1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,0.7,0.04761522635817528,0.9989860653877258,452,1774,441,1333,11,38215,0.3962264153655767,0.24705882395122752,0.2485907557786974,0.9756637168680006
ad08f042-2a02-4b28-bc46-4d116b66632a,0.7,0.031092757359147072,0.9997796416282654,1638,1161,830,331,808,38031,0.5930689533429551,0.42153377378286755,0.7149009477046503,0.5067155070166571
43187285-c9a9-4b94-9e16-c035ddddc1b4,0.7,0.012339991517364979,0.9998838901519775,1256,465,365,100,891,38644,0.42417199336189887,0.26917404183689225,0.784946237021621,0.2906050961062061
5f129616-2b9b-4461-bbe7-ec1442caa9a3,0.7,0.021419495344161987,0.9981592297554016,784,774,643,131,141,39085,0.8254172016524922,0.7027322407620412,0.830749354223838,0.8201530614538864
036334fd-fb89-46cd-958c-ff1bfcfa18db,0.7,0.015594293363392353,0.9993415474891663,6332,562,554,8,5778,33660,0.16071946632423564,0.08738170361397764,0.9857651245804891,0.08749210374486859
c6972a91-b63f-4f25-953c-3b2e6b1cab81,0.7,0.021960707381367683,0.9987465143203735,790,736,632,104,158,39106,0.8283093054860359,0.7069351233703186,0.8586956523659026,0.8000000002531645
7904e47a-1d48-414c-baf5-c629aed0c7fd,0.7,0.08053964376449585,0.9960132837295532,2193,2781,1512,1269,681,36538,0.6079613993550539,0.4367417679269955,0.5436893205524311,0.6894664844097281
dd3821a2-7d87-47af-9008-6dbb831895d8,0.7,0.03922825679183006,0.9996687173843384,1213,1529,1205,324,8,38463,0.878920496032487,0.7839947951958395,0.7880967954296293,0.9934047815388254
d6d3664a-bc38-4253-8938-faebf198da11,0.7,0.018164359033107758,0.9999518394470215,676,699,561,138,115,39186,0.8160000001338182,0.6891891895710206,0.8025751075785764,0.8298816570563881
db77c88b-cfdb-4590-a51d-4d25cddb9773,0.7,0.04211955517530441,0.9991452693939209,1899,1487,1451,36,448,38065,0.8570584761201836,0.7498708011628575,0.9757901815899191,0.7640863613669898
fdf389e8-75ea-44bf-9a3f-e0453560c284,0.7,0.02089281938970089,0.9987284541130066,761,771,555,216,206,39023,0.72454308111975,0.5680655070951223,0.7198443583400203,0.7293035483189179
aa7e73c6-1d52-434c-aa4f-e72899242f6a,0.7,0.007268303073942661,0.9908954501152039,1939,188,177,11,1762,38050,0.1664315941859748,0.09076923123550296,0.9414893620133544,0.09128416756509325
dc8cc16a-f9b2-4e11-8167-119d6ebb0971,0.7,0.017813866958022118,0.9993302822113037,748,605,553,52,195,39200,0.8174427200166721,0.6912500003859375,0.9140495869189263,0.7393048131827475
5d840532-9a7d-48ed-a05e-941d32529a0c,0.7,0.022234899923205376,0.9993816614151001,1013,836,753,83,260,38904,0.8144943213550598,0.6870437959059819,0.900717703468041,0.7433366241428069
