FigureId,FigurePath,FigureType,SampleId,Description,ModelName,FeatureConfig
FigureChapterFixedComparisonCase01,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase01.png,FixedComparisonCases,ea90fc30-428a-4c09-a7eb-aac47d75acd8,"Comparación fija 5x2 por modelo, configuración y contexto",,
FigureChapterFixedComparisonCase02,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase02.png,FixedComparisonCases,365a3850-e629-476a-83cf-dc4ef3355295,"Comparación fija 5x2 por modelo, configuración y contexto",,
FigureChapterFixedComparisonCase03,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,"Comparación fija 5x2 por modelo, configuración y contexto",,
FigureChapterFixedComparisonCase04,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,"Comparación fija 5x2 por modelo, configuración y contexto",,
FigureChapterIndividual01BestPredictionsSimpleUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual01BestPredictionsSimpleUNetConfigB.png,BestPredictions,5ca5c35e-073a-45d2-9999-ee690a0ba556,Panel individual 2x3: Mejor predicción,SimpleUNet,ConfigB
FigureChapterIndividual02ErrorCasesSimpleUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual02ErrorCasesSimpleUNetConfigB.png,ErrorCases,3a86005a-3926-4eeb-8b85-59933bd52bfe,Panel individual 2x3: Caso de error,SimpleUNet,ConfigB
FigureChapterIndividual03WorstPredictionsSimpleUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual03WorstPredictionsSimpleUNetConfigB.png,WorstPredictions,1f74ef25-24aa-435d-b707-003a81d62a21,Panel individual 2x3: Predicción deficiente,SimpleUNet,ConfigB
FigureChapterIndividual04BestPredictionsSimpleUNetConfigC,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual04BestPredictionsSimpleUNetConfigC.png,BestPredictions,ea35fc33-3b7a-434e-bed8-c22680100bbb,Panel individual 2x3: Mejor predicción,SimpleUNet,ConfigC
FigureChapterIndividual05ErrorCasesSimpleUNetConfigC,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual05ErrorCasesSimpleUNetConfigC.png,ErrorCases,d32d208e-5921-4543-b191-6f278884bc2d,Panel individual 2x3: Caso de error,SimpleUNet,ConfigC
FigureChapterIndividual06WorstPredictionsSimpleUNetConfigC,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual06WorstPredictionsSimpleUNetConfigC.png,WorstPredictions,d283104f-de72-4b6e-8451-d1787ca573b2,Panel individual 2x3: Predicción deficiente,SimpleUNet,ConfigC
FigureChapterIndividual07BestPredictionsEnhancedUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual07BestPredictionsEnhancedUNetConfigB.png,BestPredictions,cf859ba5-9c8b-4474-ac5f-7bf079dda241,Panel individual 2x3: Mejor predicción,EnhancedUNet,ConfigB
FigureChapterIndividual08ErrorCasesEnhancedUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual08ErrorCasesEnhancedUNetConfigB.png,ErrorCases,d32d208e-5921-4543-b191-6f278884bc2d,Panel individual 2x3: Caso de error,EnhancedUNet,ConfigB
FigureChapterIndividual09WorstPredictionsEnhancedUNetConfigB,/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual09WorstPredictionsEnhancedUNetConfigB.png,WorstPredictions,c80e9137-347b-4e8a-bc86-18cb5b73eec6,Panel individual 2x3: Predicción deficiente,EnhancedUNet,ConfigB
