ModelName,Modelo,SampleId,Fluxrate,FluxrateTH,LogFluxrate,FluxrateBin,FluxrateRelativeUncertainty,FluxrateUncertaintyBin,GTArea,PlumeSizeBin,WindSpeed10m,WindSpeedBin,DeltaDice,DeltaRecall,DeltaPrecision,DeltaFPBurden,DeltaFNBurden,DeltaFalseNegativeRate,DeltaAreaRatio
SimpleUNet,U-Net simple,6903afdc-167b-4fdb-8f51-6f1d58111946,3550.184,3.5502,3.5503,Medio,0.4042,Alta,756,Media,5.5713,Alto,-0.0638,-0.0265,-0.0844,0.1389,0.0265,0.0265,0.1124
SimpleUNet,U-Net simple,365a3850-e629-476a-83cf-dc4ef3355295,799.0432,0.799,2.9026,Bajo,0.335,Baja,96,Pequeña,2.5512,Bajo,-0.166,0.375,-0.1193,13.0104,-0.375,-0.375,13.3854
SimpleUNet,U-Net simple,1545c4a6-add6-4acb-9a74-4de5a97e8843,2266.8972,2.2669,3.3554,Bajo,0.3627,Media,560,Pequeña,3.5497,Medio,0.142,0.2375,0.0604,0.0786,-0.2375,-0.2375,0.3161
SimpleUNet,U-Net simple,e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,3493.422,3.4934,3.5433,Medio,0.4227,Alta,731,Media,7.2366,Alto,0.0115,0.0629,-0.0802,0.067,-0.0629,-0.0629,0.13
SimpleUNet,U-Net simple,1b6aba7b-2f80-41ec-b6b3-f07739b609a1,1305.6165,1.3056,3.1158,Bajo,0.2691,Baja,531,Pequeña,1.544,Bajo,-0.0079,-0.0169,-0.0013,-0.0056,0.0169,0.0169,-0.0226
SimpleUNet,U-Net simple,04547b46-ef41-4254-b553-a11f16acbd40,12593.083,12.5931,4.1001,Alto,0.3958,Alta,997,Media,5.1157,Alto,0.0217,-0.0191,0.0594,-0.0893,0.0191,0.0191,-0.1083
SimpleUNet,U-Net simple,b9df4252-d935-4884-a61e-84e58a75769b,5390.157,5.3902,3.7316,Medio,0.3493,Media,2622,Grande,3.1168,Medio,-0.0044,-0.0072,0.0187,-0.0088,0.0072,0.0072,-0.016
SimpleUNet,U-Net simple,a833f58b-77e2-4984-9119-f3437717bb17,1264.024,1.264,3.1018,Bajo,0.3599,Media,428,Pequeña,3.3666,Medio,-0.1156,0.0678,-0.1645,0.6425,-0.0678,-0.0678,0.7103
SimpleUNet,U-Net simple,28b6bb2b-3fae-422d-bbfa-856ec84d7804,2974.1228,2.9741,3.4734,Medio,0.406,Alta,789,Media,5.6614,Alto,-0.1757,-0.0824,-0.1987,0.5779,0.0824,0.0824,0.4956
SimpleUNet,U-Net simple,b79fa8ed-1650-487b-91f2-ea5cfe04cadc,3637.4597,3.6375,3.5608,Medio,0.4142,Alta,254,Pequeña,6.3424,Alto,-0.0433,0.0,-0.0332,0.5866,0.0,0.0,0.5866
SimpleUNet,U-Net simple,d2547ba7-fc8c-4e48-8481-352a3a4d4b21,1831.3159,1.8313,3.2628,Bajo,0.2718,Baja,624,Pequeña,1.5896,Bajo,0.0376,-0.1202,0.1016,-0.4359,0.1202,0.1202,-0.5561
SimpleUNet,U-Net simple,c8bdeb22-a3ba-4788-81cc-093056de4a8e,19328.965,19.329,4.2862,Alto,0.4066,Alta,1623,Grande,5.8197,Alto,-0.0764,-0.106,-0.0377,0.0277,0.106,0.106,-0.0783
SimpleUNet,U-Net simple,b29e84a0-c8ab-4251-8124-54afcb4ceb9c,2555.0974,2.5551,3.4074,Bajo,0.3479,Media,1150,Media,3.094,Medio,-0.0042,-0.0435,0.0627,-0.0626,0.0435,0.0435,-0.1061
