SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall,BestThreshold,Samples,TP,FP,FN,TN,GTArea,PredArea,ProbabilityMean,ProbabilityMax,RunTag,FeatureConfig,ModelName,Modelo,ShortLabel,ModelRunId,ExperimentId,ExperimentOrder,Specificity,FalsePositiveRate,FalseNegativeRate,BalancedAccuracy,MCC,AreaRatio,AbsoluteAreaError,RelativeAreaError,FPBurden,FNBurden,PredictedPositiveFraction,PlumeSizeBin,IsEmptyPrediction,IsNearEmptyPrediction,IsSevereFalseNegative,IsSevereFalsePositive,IsOversegmented,IsUndersegmented,IsSaturatedPrediction,IsAcceptablePrediction,PrimaryQualityCategory
6903afdc-167b-4fdb-8f51-6f1d58111946,0.3,0.0232,0.9994,756,940,735,205,21,39039,0.8667,0.7648,0.7819,0.9722,0.3,0.0232,735,205,21,39039,756,940,0.0232,0.9994,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9948,0.0052,0.0278,0.9835,0.8692,1.2434,184,0.2434,0.2712,0.0278,0.0235,Media,False,False,False,False,False,False,False,True,Aceptable
365a3850-e629-476a-83cf-dc4ef3355295,0.3,0.0086,0.9944,96,336,60,276,36,39628,0.2778,0.1613,0.1786,0.625,0.3,0.0086,60,276,36,39628,96,336,0.0086,0.9944,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9931,0.0069,0.375,0.809,0.3314,3.5,240,2.5,2.875,0.375,0.0084,Pequeña,False,False,False,True,True,False,False,False,FP severo
1545c4a6-add6-4acb-9a74-4de5a97e8843,0.3,0.0127,0.9993,560,520,267,253,293,39187,0.4944,0.3284,0.5135,0.4768,0.3,0.0127,267,253,293,39187,560,520,0.0127,0.9993,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9936,0.0064,0.5232,0.7352,0.4879,0.9286,40,-0.0714,0.4518,0.5232,0.013,Pequeña,False,False,False,False,False,False,False,True,Aceptable
e00a0f4f-f778-43a7-bb30-0fb8c1ed99d1,0.3,0.012,0.9992,731,504,499,5,232,39264,0.8081,0.678,0.9901,0.6826,0.3,0.012,499,5,232,39264,731,504,0.012,0.9992,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9999,0.0001,0.3174,0.8412,0.8196,0.6895,227,-0.3105,0.0068,0.3174,0.0126,Media,False,False,False,False,False,False,False,True,Aceptable
1b6aba7b-2f80-41ec-b6b3-f07739b609a1,0.3,0.0153,0.9998,531,627,429,198,102,39271,0.7409,0.5885,0.6842,0.8079,0.3,0.0153,429,198,102,39271,531,627,0.0153,0.9998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.995,0.005,0.1921,0.9014,0.7398,1.1808,96,0.1808,0.3729,0.1921,0.0157,Pequeña,False,False,False,False,False,False,False,True,Aceptable
04547b46-ef41-4254-b553-a11f16acbd40,0.3,0.0265,0.998,997,1091,782,309,215,38694,0.749,0.5988,0.7168,0.7844,0.3,0.0265,782,309,215,38694,997,1091,0.0265,0.998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9921,0.0079,0.2156,0.8882,0.7431,1.0943,94,0.0943,0.3099,0.2156,0.0273,Media,False,False,False,False,False,False,False,True,Aceptable
b9df4252-d935-4884-a61e-84e58a75769b,0.3,0.0258,0.9999,2622,1062,962,100,1660,37278,0.5223,0.3534,0.9058,0.3669,0.3,0.0258,962,100,1660,37278,2622,1062,0.0258,0.9999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9973,0.0027,0.6331,0.6821,0.5607,0.405,1560,-0.595,0.0381,0.6331,0.0266,Grande,False,False,False,False,False,False,False,False,Otros
a833f58b-77e2-4984-9119-f3437717bb17,0.3,0.0151,0.9967,428,621,370,251,58,39321,0.7054,0.5449,0.5958,0.8645,0.3,0.0151,370,251,58,39321,428,621,0.0151,0.9967,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9937,0.0063,0.1355,0.9291,0.7142,1.4509,193,0.4509,0.5864,0.1355,0.0155,Pequeña,False,False,False,False,False,False,False,True,Aceptable
28b6bb2b-3fae-422d-bbfa-856ec84d7804,0.3,0.0261,0.9989,789,1108,660,448,129,38763,0.6958,0.5335,0.5957,0.8365,0.3,0.0261,660,448,129,38763,789,1108,0.0261,0.9989,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9886,0.0114,0.1635,0.9125,0.6991,1.4043,319,0.4043,0.5678,0.1635,0.0277,Media,False,False,False,False,False,False,False,True,Aceptable
b79fa8ed-1650-487b-91f2-ea5cfe04cadc,0.3,0.0236,0.9997,254,995,254,741,0,39005,0.4067,0.2553,0.2553,1.0,0.3,0.0236,254,741,0,39005,254,995,0.0236,0.9997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9814,0.0186,0.0,0.9907,0.5005,3.9173,741,2.9173,2.9173,0.0,0.0249,Pequeña,False,False,False,True,True,False,False,False,FP severo
d2547ba7-fc8c-4e48-8481-352a3a4d4b21,0.3,0.0273,0.9967,624,1154,522,632,102,38744,0.5872,0.4156,0.4523,0.8365,0.3,0.0273,522,632,102,38744,624,1154,0.0273,0.9967,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9839,0.0161,0.1635,0.9102,0.6074,1.8494,530,0.8494,1.0128,0.1635,0.0288,Pequeña,False,False,False,False,False,False,False,True,Aceptable
c8bdeb22-a3ba-4788-81cc-093056de4a8e,0.3,0.0364,0.999,1623,1493,1417,76,206,38301,0.9095,0.834,0.9491,0.8731,0.3,0.0364,1417,76,206,38301,1623,1493,0.0364,0.999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.998,0.002,0.1269,0.9355,0.9067,0.9199,130,-0.0801,0.0468,0.1269,0.0373,Grande,False,False,False,False,False,False,False,True,Aceptable
