Modelo,ModelName,FeatureConfig,FluxrateUncertaintyBin,DiceMean,DiceMedian,DiceCount,RecallMean,RecallMedian,RecallCount,FalseNegativeRateMean,FalseNegativeRateMedian,FalseNegativeRateCount,FPBurdenMean,FPBurdenMedian,FPBurdenCount,FNBurdenMean,FNBurdenMedian,FNBurdenCount
TransformerPlus,TransformerPlus,ConfigB,Alta,0.619,0.7125,176,0.6927,0.8046,176,0.3073,0.1954,176,0.6403,0.3064,176,0.3073,0.1954,176
TransformerPlus,TransformerPlus,ConfigB,Baja,0.6483,0.7259,176,0.7151,0.8317,176,0.2849,0.1683,176,0.6515,0.2442,176,0.2849,0.1683,176
TransformerPlus,TransformerPlus,ConfigB,Media,0.6431,0.6892,176,0.6925,0.7796,176,0.3075,0.2204,176,0.607,0.2277,176,0.3075,0.2204,176
TransformerPlus,TransformerPlus,ConfigC,Alta,0.6264,0.6818,176,0.684,0.7759,176,0.316,0.2241,176,0.5623,0.2698,176,0.316,0.2241,176
TransformerPlus,TransformerPlus,ConfigC,Baja,0.6151,0.6979,176,0.6599,0.7583,176,0.3401,0.2417,176,0.6043,0.2285,176,0.3401,0.2417,176
TransformerPlus,TransformerPlus,ConfigC,Media,0.6494,0.7096,176,0.6882,0.7621,176,0.3118,0.2379,176,0.5137,0.2203,176,0.3118,0.2379,176
U-Net Transformer,TransformerUNet,ConfigB,Alta,0.6102,0.6742,176,0.6927,0.793,176,0.3073,0.207,176,0.7354,0.3114,176,0.3073,0.207,176
U-Net Transformer,TransformerUNet,ConfigB,Baja,0.6369,0.7178,176,0.6938,0.8024,176,0.3062,0.1976,176,0.6122,0.2241,176,0.3062,0.1976,176
U-Net Transformer,TransformerUNet,ConfigB,Media,0.6279,0.6936,176,0.6926,0.794,176,0.3074,0.206,176,0.7041,0.2794,176,0.3074,0.206,176
U-Net Transformer,TransformerUNet,ConfigC,Alta,0.5848,0.6575,176,0.6252,0.6864,176,0.3748,0.3136,176,1.1768,0.2463,176,0.3748,0.3136,176
U-Net Transformer,TransformerUNet,ConfigC,Baja,0.5915,0.6567,176,0.6331,0.721,176,0.3669,0.279,176,0.642,0.2092,176,0.3669,0.279,176
U-Net Transformer,TransformerUNet,ConfigC,Media,0.6252,0.6923,176,0.6718,0.7586,176,0.3282,0.2414,176,0.7285,0.2322,176,0.3282,0.2414,176
U-Net mejorada,EnhancedUNet,ConfigB,Alta,0.6014,0.6899,176,0.6503,0.7487,176,0.3497,0.2513,176,0.4858,0.2495,176,0.3497,0.2513,176
U-Net mejorada,EnhancedUNet,ConfigB,Baja,0.6032,0.6699,176,0.6597,0.7707,176,0.3403,0.2293,176,0.631,0.2659,176,0.3403,0.2293,176
U-Net mejorada,EnhancedUNet,ConfigB,Media,0.6429,0.7198,176,0.6752,0.7553,176,0.3248,0.2447,176,0.5741,0.2145,176,0.3248,0.2447,176
U-Net mejorada,EnhancedUNet,ConfigC,Alta,0.5967,0.7078,176,0.6338,0.721,176,0.3662,0.279,176,0.9987,0.2061,176,0.3662,0.279,176
U-Net mejorada,EnhancedUNet,ConfigC,Baja,0.6096,0.6934,176,0.6381,0.7222,176,0.3619,0.2778,176,0.5202,0.1674,176,0.3619,0.2778,176
U-Net mejorada,EnhancedUNet,ConfigC,Media,0.6301,0.6923,176,0.6418,0.733,176,0.3582,0.267,176,0.4367,0.167,176,0.3582,0.267,176
U-Net simple,SimpleUNet,ConfigB,Alta,0.5691,0.6767,176,0.6374,0.7546,176,0.3626,0.2454,176,0.5669,0.2733,176,0.3626,0.2454,176
U-Net simple,SimpleUNet,ConfigB,Baja,0.5863,0.653,176,0.6451,0.7592,176,0.3549,0.2408,176,0.5957,0.2509,176,0.3549,0.2408,176
U-Net simple,SimpleUNet,ConfigB,Media,0.6175,0.6921,176,0.6593,0.7629,176,0.3407,0.2371,176,0.5559,0.2071,176,0.3407,0.2371,176
U-Net simple,SimpleUNet,ConfigC,Alta,0.5849,0.6658,176,0.6797,0.7624,176,0.3203,0.2376,176,1.1623,0.3613,176,0.3203,0.2376,176
U-Net simple,SimpleUNet,ConfigC,Baja,0.5619,0.6193,176,0.621,0.6976,176,0.379,0.3024,176,0.8011,0.284,176,0.379,0.3024,176
U-Net simple,SimpleUNet,ConfigC,Media,0.6236,0.6867,176,0.6698,0.7713,176,0.3302,0.2287,176,0.5902,0.2752,176,0.3302,0.2287,176
