ExperimentId,ModelName,Modelo,FeatureConfig,ShortLabel,FluxrateBin,DiceMean,DiceMedian,DiceCount,IoUMean,IoUMedian,IoUCount,PrecisionMean,PrecisionMedian,PrecisionCount,RecallMean,RecallMedian,RecallCount,FalseNegativeRateMean,FalseNegativeRateMedian,FalseNegativeRateCount,FPBurdenMean,FPBurdenMedian,FPBurdenCount,FNBurdenMean,FNBurdenMedian,FNBurdenCount,AreaRatioMean,AreaRatioMedian,AreaRatioCount
E1,SimpleUNet,U-Net simple,ConfigB,B · U-Net simple,Alto,0.6398,0.7119,176,0.5085,0.5527,176,0.723,0.765,176,0.6718,0.7752,176,0.3282,0.2248,176,0.3676,0.1755,176,0.3282,0.2248,176,1.0394,0.9626,176
E1,SimpleUNet,U-Net simple,ConfigB,B · U-Net simple,Bajo,0.5302,0.6045,176,0.4104,0.4332,176,0.6331,0.7226,176,0.5975,0.7004,176,0.4025,0.2996,176,0.8335,0.2616,176,0.4025,0.2996,176,1.431,1.021,176
E1,SimpleUNet,U-Net simple,ConfigB,B · U-Net simple,Medio,0.6029,0.6858,176,0.4716,0.522,176,0.6775,0.7315,176,0.6724,0.8026,176,0.3276,0.1974,176,0.5173,0.2612,176,0.3276,0.1974,176,1.1898,1.0465,176
E1,SimpleUNet,U-Net simple,ConfigC,C · U-Net simple,Alto,0.6531,0.6936,176,0.515,0.531,176,0.7427,0.7911,176,0.6644,0.7267,176,0.3356,0.2733,176,0.5139,0.1718,176,0.3356,0.2733,176,1.1783,0.9057,176
E1,SimpleUNet,U-Net simple,ConfigC,C · U-Net simple,Bajo,0.5233,0.593,176,0.3968,0.4215,176,0.5547,0.6009,176,0.6275,0.7383,176,0.3725,0.2617,176,1.3831,0.4577,176,0.3725,0.2617,176,2.0107,1.2026,176
E1,SimpleUNet,U-Net simple,ConfigC,C · U-Net simple,Medio,0.5941,0.6548,176,0.4597,0.4868,176,0.6132,0.6723,176,0.6786,0.7847,176,0.3214,0.2153,176,0.6565,0.3481,176,0.3214,0.2153,176,1.3351,1.1697,176
E2,EnhancedUNet,U-Net mejorada,ConfigB,B · U-Net mejorada,Alto,0.679,0.7443,176,0.5515,0.5927,176,0.7485,0.8169,176,0.7026,0.7803,176,0.2974,0.2197,176,0.3574,0.1753,176,0.2974,0.2197,176,1.06,0.9778,176
E2,EnhancedUNet,U-Net mejorada,ConfigB,B · U-Net mejorada,Bajo,0.5454,0.6313,176,0.4264,0.4612,176,0.5768,0.609,176,0.6145,0.7466,176,0.3855,0.2534,176,0.8064,0.3834,176,0.3855,0.2534,176,1.4209,1.0867,176
E2,EnhancedUNet,U-Net mejorada,ConfigB,B · U-Net mejorada,Medio,0.6231,0.6935,176,0.4887,0.5308,176,0.6718,0.7239,176,0.6681,0.733,176,0.3319,0.267,176,0.527,0.2722,176,0.3319,0.267,176,1.1951,1.0055,176
E2,EnhancedUNet,U-Net mejorada,ConfigC,C · U-Net mejorada,Alto,0.6747,0.7326,176,0.5441,0.578,176,0.751,0.831,176,0.6828,0.7421,176,0.3172,0.2579,176,0.5673,0.1334,176,0.3172,0.2579,176,1.2501,0.8987,176
E2,EnhancedUNet,U-Net mejorada,ConfigC,C · U-Net mejorada,Bajo,0.5467,0.6506,176,0.4256,0.4821,176,0.6369,0.7084,176,0.5865,0.6858,176,0.4135,0.3142,176,0.9322,0.2401,176,0.4135,0.3142,176,1.5187,0.9646,176
E2,EnhancedUNet,U-Net mejorada,ConfigC,C · U-Net mejorada,Medio,0.6151,0.7033,176,0.4887,0.5424,176,0.7025,0.7824,176,0.6444,0.7326,176,0.3556,0.2674,176,0.4561,0.1765,176,0.3556,0.2674,176,1.1005,0.9279,176
E3,TransformerUNet,U-Net Transformer,ConfigB,B · U-Net Transformer,Alto,0.6746,0.7407,176,0.5441,0.5881,176,0.7312,0.7936,176,0.6996,0.7848,176,0.3004,0.2152,176,0.4018,0.2089,176,0.3004,0.2152,176,1.1014,0.9591,176
E3,TransformerUNet,U-Net Transformer,ConfigB,B · U-Net Transformer,Bajo,0.5717,0.6455,176,0.4441,0.4766,176,0.572,0.595,176,0.6729,0.7922,176,0.3271,0.2078,176,1.0387,0.4699,176,0.3271,0.2078,176,1.7116,1.2597,176
E3,TransformerUNet,U-Net Transformer,ConfigB,B · U-Net Transformer,Medio,0.6287,0.688,176,0.4987,0.5244,176,0.6503,0.7431,176,0.7065,0.8238,176,0.2935,0.1762,176,0.6111,0.2643,176,0.2935,0.1762,176,1.3176,1.1021,176
E3,TransformerUNet,U-Net Transformer,ConfigC,C · U-Net Transformer,Alto,0.6794,0.7457,176,0.5437,0.5945,176,0.7541,0.8091,176,0.6999,0.7749,176,0.3001,0.2251,176,0.6116,0.1738,176,0.3001,0.2251,176,1.3115,0.9273,176
E3,TransformerUNet,U-Net Transformer,ConfigC,C · U-Net Transformer,Bajo,0.5228,0.5779,176,0.4,0.4064,176,0.5851,0.6637,176,0.5813,0.6323,176,0.4187,0.3677,176,1.3347,0.3146,176,0.4187,0.3677,176,1.9161,1.0051,176
E3,TransformerUNet,U-Net Transformer,ConfigC,C · U-Net Transformer,Medio,0.5992,0.6568,176,0.4621,0.489,176,0.6679,0.7354,176,0.6488,0.724,176,0.3512,0.276,176,0.601,0.24,176,0.3512,0.276,176,1.2498,1.0026,176
E4,TransformerPlus,TransformerPlus,ConfigB,B · TransformerPlus,Alto,0.6888,0.7397,176,0.5578,0.5869,176,0.7395,0.7897,176,0.7229,0.8177,176,0.2771,0.1823,176,0.3729,0.1797,176,0.2771,0.1823,176,1.0958,0.9761,176
E4,TransformerPlus,TransformerPlus,ConfigB,B · TransformerPlus,Bajo,0.5793,0.6605,176,0.4551,0.4931,176,0.5933,0.6206,176,0.6663,0.7917,176,0.3337,0.2083,176,0.9503,0.4062,176,0.3337,0.2083,176,1.6166,1.141,176
E4,TransformerPlus,TransformerPlus,ConfigB,B · TransformerPlus,Medio,0.6423,0.7138,176,0.5117,0.555,176,0.6646,0.7455,176,0.7112,0.8182,176,0.2888,0.1818,176,0.5754,0.2819,176,0.2888,0.1818,176,1.2866,1.0719,176
E4,TransformerPlus,TransformerPlus,ConfigC,C · TransformerPlus,Alto,0.6943,0.7353,176,0.5618,0.5814,176,0.7587,0.8118,176,0.7145,0.7656,176,0.2855,0.2344,176,0.3415,0.1522,176,0.2855,0.2344,176,1.056,0.9675,176
E4,TransformerPlus,TransformerPlus,ConfigC,C · TransformerPlus,Bajo,0.5621,0.6536,176,0.4383,0.4854,176,0.5911,0.6513,176,0.6298,0.7384,176,0.3702,0.2616,176,0.8379,0.3437,176,0.3702,0.2616,176,1.4677,1.0797,176
E4,TransformerPlus,TransformerPlus,ConfigC,C · TransformerPlus,Medio,0.6344,0.7258,176,0.5042,0.5696,176,0.6603,0.7209,176,0.6877,0.7939,176,0.3123,0.2061,176,0.501,0.2562,176,0.3123,0.2061,176,1.1887,1.0779,176
